gmap_id,name,address,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url
1708713022,Goodfella's Pizzeria,Desconocida,Sin descripción,40.5426,-74.2061865,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': 'http://goodfellasrossville.com/'}",,,http://goodfellasrossville.com/
1708727865,Pio Hot Bagels,Desconocida,Sin descripción,40.5429119,-74.2067548,['restaurant'],,,,,"{'cuisine': 'coffee_shop;breakfast;lunch;bagel', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': None}",,,
7802242297,Cucumber Sushi & Salad Bar,Desconocida,Sin descripción,40.5256749,-74.2018614,['restaurant'],,,,,"{'cuisine': 'sushi', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7802242299,Domenico's Pizzeria,Desconocida,Sin descripción,40.5257624,-74.2019168,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7804865681,Fratelli Pizzeria,Desconocida,Sin descripción,40.5257207,-74.2007335,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7804865682,New Island Chinese Restaurant,Desconocida,Sin descripción,40.5257597,-74.2006405,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7804865681,Fratelli Pizzeria,Desconocida,Sin descripción,40.5257207,-74.2007335,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7804865682,New Island Chinese Restaurant,Desconocida,Sin descripción,40.5257597,-74.2006405,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
11040332639,Island Wok,Desconocida,Sin descripción,40.5596964,-74.1972021,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
12079052814,Royal Pizza,Desconocida,Sin descripción,40.5597361,-74.1971568,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
12556844918,Da Noi,Desconocida,Sin descripción,40.5877253,-74.1969978,['restaurant'],,,,,"{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
4586479689,Ciro Pizza Cafe,Desconocida,Sin descripción,40.5333265,-74.1926589,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': None}",,,
6703513808,Chopstick House,Desconocida,Sin descripción,40.5326889,-74.1917866,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7159841502,Kuzina,Huguenot Avenue 895,Sin descripción,40.5327644,-74.1918282,['restaurant'],,,,,"{'cuisine': 'greek', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://www.kuzinaonline.com/'}",NY,,https://www.kuzinaonline.com/
10309915710,Genki Sushi,Arden Avenue 262S,Sin descripción,40.5527575,-74.1933491,['restaurant'],,,,,"{'cuisine': 'sushi', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://genkistatenisland.com/'}",,,https://genkistatenisland.com/
2545431422,Peking Taste,Arden Avenue 262B,Sin descripción,40.5531773,-74.1925195,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
10309850407,Ambrosino's Pizzeria,Desconocida,Sin descripción,40.5536262,-74.193048,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
10309915710,Genki Sushi,Arden Avenue 262S,Sin descripción,40.5527575,-74.1933491,['restaurant'],,,,,"{'cuisine': 'sushi', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://genkistatenisland.com/'}",,,https://genkistatenisland.com/
9939892550,Chen's Garden,Desconocida,Sin descripción,40.5635773,-74.1917623,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
10212994187,El Pollo Restaurant II,Desconocida,Sin descripción,40.5907073,-74.1921011,['restaurant'],,,,,"{'cuisine': 'spanish', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7821177573,Chuck E. Cheese,Desconocida,Sin descripción,40.600075,-74.1930964,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://locations.chuckecheese.com/us/ny/statenisland/1775-p-south-ave.'}",,,https://locations.chuckecheese.com/us/ny/statenisland/1775-p-south-ave.
6703513808,Chopstick House,Desconocida,Sin descripción,40.5326889,-74.1917866,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7159841502,Kuzina,Huguenot Avenue 895,Sin descripción,40.5327644,-74.1918282,['restaurant'],,,,,"{'cuisine': 'greek', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://www.kuzinaonline.com/'}",NY,,https://www.kuzinaonline.com/
9939892548,Greek Fellas,Desconocida,Sin descripción,40.5633039,-74.1917183,['restaurant'],,,,,"{'cuisine': 'greek', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
9939892550,Chen's Garden,Desconocida,Sin descripción,40.5635773,-74.1917623,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
10212994187,El Pollo Restaurant II,Desconocida,Sin descripción,40.5907073,-74.1921011,['restaurant'],,,,,"{'cuisine': 'spanish', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
11040332654,Casa Nino's Pizza Bar,Arthur Kill Road 1281,Sin descripción,40.5657975,-74.1829086,['restaurant'],,,,10:30-22:00,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://casaninosi.com/'}",NY,,https://casaninosi.com/
11040332654,Casa Nino's Pizza Bar,Arthur Kill Road 1281,Sin descripción,40.5657975,-74.1829086,['restaurant'],,,,10:30-22:00,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://casaninosi.com/'}",NY,,https://casaninosi.com/
10812977323,District,Desconocida,Sin descripción,40.5404278,-74.1771787,['restaurant'],,,,,"{'cuisine': 'american', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
2551462177,Il Sogno,Jefferson Boulevard 26,Sin descripción,40.5412672,-74.1784052,['restaurant'],,,,"Mo closed; Tu-Th 12:00-22:00; Fr,Sa 12:00-23:00; Su 13:00-21:00","{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://ilsognonyc.com/'}",NY,,https://ilsognonyc.com/
6699139859,The Square on Annadale,Annadale Road 833,Sin descripción,40.5414419,-74.1772278,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",NY,,
6699139861,Mona Lisa Pizzeria & Ristorante,Annadale Road 839,Sin descripción,40.5413238,-74.1769202,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",NY,,
6699676996,Ocean Sushi,Jefferson Boulevard 20,Sin descripción,40.5411553,-74.1783565,['restaurant'],,,,,"{'cuisine': 'sushi', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",NY,,
10252473109,"Lorenzo's Restaurant, Bar & Cabaret",South Avenue 1100,Sin descripción,40.6149221,-74.1770833,['restaurant'],,,,Mo-Th 06:00-21:00; Fr 06:00-22:00; Sa 08:00-22:00; Su 08:00-20:00,"{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://lorenzosdining.com'}",NY,,https://lorenzosdining.com
6699139861,Mona Lisa Pizzeria & Ristorante,Annadale Road 839,Sin descripción,40.5413238,-74.1769202,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",NY,,
10812977323,District,Desconocida,Sin descripción,40.5404278,-74.1771787,['restaurant'],,,,,"{'cuisine': 'american', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
6775487650,Teriyaki One,Richmond Avenue 3275,Sin descripción,40.5596408,-74.1684049,['restaurant'],,,,,"{'cuisine': 'japanese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://teriyakione.com/'}",NY,,https://teriyakione.com/
10092163179,Pronto Pizza,Desconocida,Sin descripción,40.5585132,-74.1690049,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
11329451913,Corrado's Cucina,Arthur Kill Road 831,Sin descripción,40.5610553,-74.1686933,['restaurant'],,,,"Mo off; Tu-Th 12:00-22:00; Fr,Sa 12:00-23:00; Su 12:00-21:00","{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://www.corradoscucina.com/'}",NY,,https://www.corradoscucina.com/
8253381588,Miller's Ale House,Richmond Avenue 2883,Sin descripción,40.5750924,-74.169331,['restaurant'],,,,"Mo-We,Su 11:30-24:00, Th 11:30-01:00, Fr-Sa 11:30-02:00","{'cuisine': 'american', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://millersalehouse.com/locations/staten-island/'}",NY,,https://millersalehouse.com/locations/staten-island/
